raw_comp_writers_text,CLEAN_TEXT,split_phrases
Alexander Reid/Stephanie Shabashev/Patrick Pieter Paul Hagenaar,Alexander Reid/Stephanie Shabashev/Patrick Pieter Paul Hagenaar,"['Alexander Reid', 'Stephanie Shabashev', 'Patrick Pieter Paul Hagenaar']"
Elias Nasser/Georges Mardirossian,,"['Elias Nasser', 'Georges Mardirossian']"
"Future,Lil Durk,Chopsquad DJ,Ghostrage",Future,"['Future', 'Lil Durk', 'Chopsquad DJ', 'Ghostrage']"
CA FRANCIS ROBERT/CA MANOLATOS DIMITRIS/PA BOBBY NEON & HIT THE BASS,FRANCIS/ROBERT/MANOLATOS/DIMITRIS/PA/BOBBY/NEON/&/HIT/THE/BASS,"['CA FRANCIS ROBERT', 'CA MANOLATOS DIMITRIS', 'PA BOBBY NEON', 'HIT THE BASS']"
"Gunna,Florian “Flo” Ongonga,Angelo Ferraro",Gunna/Florian “Flo” Ongonga/Angelo Ferraro,"['Gunna', 'Florian “Flo” Ongonga', 'Angelo Ferraro']"
"Debbie Moore,Bill Anderson,Skip Ewing",Debbie Moore/Bill Anderson/Skip Ewing,"['Debbie Moore', 'Bill Anderson', 'Skip Ewing']"
Jules De Martino/Katie White,Jules De Martino/Katie White,"['Jules De Martino', 'Katie White']"
"Holger Zilske/Kai Preussner/Copyright Control/Kai Preussner, Holger Zilske",Holger Zilske/Kai Preussner,"['Holger Zilske', 'Kai Preussner', 'Copyright Control', 'Kai Preussner', 'Holger Zilske']"
Jabari Stevens,Jabari Stevens,['Jabari Stevens']
Ebenezer Obey,Ebenezer Obey,['Ebenezer Obey']
K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha,K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha,"['K. Rudolf', 'C. Berishaj', 'J. Halavacs', 'Kevin Rudolf', 'Jeff Halatrax', 'Savan Kotecha']"
Andres Arellano Ayala,Andres Arellano Ayala,['Andres Arellano Ayala']
Dequandre Addison,Dequandre Addison,['Dequandre Addison']
UNKNOWN WRITER,,['UNKNOWN WRITER']
DJ Muggs,DJ Muggs,['DJ Muggs']
Ray Colcord/Chris Cozens/Roger Woodhead,Ray Colcord/Chris Cozens/Roger Woodhead,"['Ray Colcord', 'Chris Cozens', 'Roger Woodhead']"
Ben Roy,Ben Roy,['Ben Roy']
Darius Londell Whitfield,Darius Londell Whitfield,['Darius Londell Whitfield']
Antelmo Chávez Valdovinos,,['Antelmo Chávez Valdovinos']
Trae tha Truth,Trae tha Truth,['Trae tha Truth']
"BabyTron,Enrgy Beats",BabyTron/Enrgy Beats,"['BabyTron', 'Enrgy Beats']"
Aybe/Alvaro Linares,Aybe/Alvaro Linares,"['Aybe', 'Alvaro Linares']"
Andrés Calamaro,Andrés Calamaro,['Andrés Calamaro']
Chad Griffin,Chad Griffin,['Chad Griffin']
Mark Tremonti & Scott Stapp,Mark Tremonti/Scott Stapp,"['Mark Tremonti', 'Scott Stapp']"
Victoria Orenze,Victoria Orenze,['Victoria Orenze']
Hans Zimmer/Erick Morillo/William Adams/Mark H. Quashie,Hans Zimmer/Erick Morillo/William Adams/Mark H. Quashie,"['Hans Zimmer', 'Erick Morillo', 'William Adams', 'Mark H. Quashie']"
Bryton Layelo,Bryton Layelo,['Bryton Layelo']
Wolf Erichson/Fritz Hoffmann,Fritz Hoffmann,"['Wolf Erichson', 'Fritz Hoffmann']"
Jan Carlos Fernandez Martinez/Mh Musik Latin Worldwide Publishing,Jan Carlos Fernandez Martinez,"['Jan Carlos Fernandez Martinez', 'Mh Musik Latin Worldwide Publishing']"
"Bianca,Egzod",Bianca/Egzod,"['Bianca', 'Egzod']"
Jerae Tyri Prather,Jerae Tyri Prather,['Jerae Tyri Prather']
Fred Deakin/Andrew Wasylyk,Fred Deakin/Andrew Wasylyk,"['Fred Deakin', 'Andrew Wasylyk']"
Christopher Dell/Jonas Westergaard/Christian Lillinger,,"['Christopher Dell', 'Jonas Westergaard', 'Christian Lillinger']"
Sting,Sting,['Sting']
G. Abbott/Bruce Dickinson,G. Abbott/Bruce Dickinson,"['G. Abbott', 'Bruce Dickinson']"
Phạm Duy,,['Phạm Duy']
SAMMY E KING,SAMMY E KING,['SAMMY E KING']
Charlie Louvin/Ira Louvin,Charlie Louvin/Ira Louvin,"['Charlie Louvin', 'Ira Louvin']"
Terry Finch,Terry Finch,['Terry Finch']
B. Mure/Loulou Gaste,,"['B. Mure', 'Loulou Gaste']"
Gabi De La 59,Gabi De La 59,['Gabi De La 59']
Chris Webby,Chris Webby,['Chris Webby']
Clelia Raquel Dondoglio/Luigi Albertelli/Enrico Riccardi,Clelia Raquel Dondoglio/Luigi Albertelli/Enrico Riccardi,"['Clelia Raquel Dondoglio', 'Luigi Albertelli', 'Enrico Riccardi']"
Rafael Canaro/Francisco Canaro,Rafael Canaro/Francisco Canaro,"['Rafael Canaro', 'Francisco Canaro']"
Lil Ene,Lil Ene,['Lil Ene']
Wes James/Ryan Leslie,Wes James/Ryan Leslie,"['Wes James', 'Ryan Leslie']"
Damian Hamada,Damian Hamada,['Damian Hamada']
Benjamin Britten,Benjamin Britten,['Benjamin Britten']
Chick Corea,Chick Corea,['Chick Corea']
Shila Amzah,Shila Amzah,['Shila Amzah']
Clarence Miller,Clarence Miller,['Clarence Miller']
Mark Underdown,Mark Underdown,['Mark Underdown']
Prznt,Prznt,['Prznt']
Chris Rea,Chris Rea,['Chris Rea']
Elmore James,Elmore James,['Elmore James']
Céline Marin,Céline Marin,['Céline Marin']
Yeldri Jimenez,Yeldri Jimenez,['Yeldri Jimenez']
Lê Minh Bằng/Anh Bằng/Lê Dinh,,"['Lê Minh Bằng', 'Anh Bằng', 'Lê Dinh']"
Sonny Stitt,Sonny Stitt,['Sonny Stitt']
Oathcreations/Gacha Bakradze/Copyright Control,Gacha Bakradze,"['Oathcreations', 'Gacha Bakradze', 'Copyright Control']"
Shootah,Shootah,['Shootah']
Steve Fox/Stan Frazier/SONGS Music Publishing/Ange Jolie Publishing (ASCAP)/Warner-Tamerlane obo Lady Chloe Music/Universal Music-Z Tunes LLC/Massif (ASCAP),Steve Fox/Stan Frazie/Massif,"['Steve Fox', 'Stan Frazier', 'SONGS Music Publishing', 'Ange Jolie Publishing', 'ASCAP', 'Warner-Tamerlane obo Lady Chloe Music', 'Universal Music-Z Tunes LLC', 'Massif', 'ASCAP']"
Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi,Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi,"['Marco Benassi', 'Salena Mastroianni', 'Nicholas Henriques', 'Kelli-Leigh Henry-Davila', 'Riccardo Marchi']"
김홍중/Maddox/EDEN/BUDDY/송민기/ATEEZ/LEEZ/Ollounder,,"['김홍중', 'Maddox', 'EDEN', 'BUDDY', '송민기', 'ATEEZ', 'LEEZ', 'Ollounder']"
Ido Liran/Plusquam Publishing,,"['Ido Liran', 'Plusquam Publishing']"
BOWIE  DAVID,BOWIE  DAVID,['BOWIE  DAVID']
Sinch/Jamie Stem,Sinch/Jamie Stem,"['Sinch', 'Jamie Stem']"
EZFG,EZFG,['EZFG']
Booker T. Jones,Booker T. Jones,['Booker T. Jones']
Matthew Hopkins,Matthew Hopkins,['Matthew Hopkins']
Jadin Mansaray,Jadin Mansaray,['Jadin Mansaray']
Ator Untela,Ator Untela,['Ator Untela']
Alex Medina,Alex Medina,['Alex Medina']
Quenten Cortez Taylor,Quenten Cortez Taylor,['Quenten Cortez Taylor']
Kudu Music Co/Memory Lane Music/Kudu Music Company,Kudu Music Co,"['Kudu Music Co', 'Memory Lane Music', 'Kudu Music Company']"
Robert Din Barbulesti,Robert Din Barbulesti,['Robert Din Barbulesti']
Nick Phoenix/Thomas Bergersen/Petr Pololáník,Nick Phoenix/Thomas Bergersen/Petr Pololáník,"['Nick Phoenix', 'Thomas Bergersen', 'Petr Pololáník']"
Taylor Swift/Jack Antonoff,Taylor Swift/Jack Antonoff,"['Taylor Swift', 'Jack Antonoff']"
AKINA STEPHEN (MR),AKINA STEPHEN,"['AKINA STEPHEN', 'MR']"
John Santana/Jason Critchlow,John Santana/Jason Critchlow,"['John Santana', 'Jason Critchlow']"
"BONHAM, JOHN/PAGE, JAMES PATRICK (JIMMY)/PLANT, ROBERT ANTHONY",BONHAM/JOHN/PAGE/JAMES PATRICK (JIMMY)/PLANT/ROBERT ANTHONY,"['BONHAM', 'JOHN', 'PAGE', 'JAMES PATRICK', 'JIMMY', 'PLANT', 'ROBERT ANTHONY']"
Saul David Ornelas,Saul David Ornelas,['Saul David Ornelas']
Matthew Lawrence,Matthew Lawrence,['Matthew Lawrence']
Nova Rockafeller,Nova Rockafeller,['Nova Rockafeller']
Edward O'Sullivan Lee,Edward O'Sullivan Lee,"[""Edward O'Sullivan Lee""]"
Veronika Salo,Veronika Salo,['Veronika Salo']
Roger Hodgson/Rick Davies,,"['Roger Hodgson', 'Rick Davies']"
Lisa Schonberg/Allan Wilson,Lisa Schonberg/Allan Wilson,"['Lisa Schonberg', 'Allan Wilson']"
John Hill/Shakira,John Hill/Shakira,"['John Hill', 'Shakira']"
Felipe Lima/Gustavo Carvalho/Caelu,Felipe Lima/Gustavo Carvalho/Caelu,"['Felipe Lima', 'Gustavo Carvalho', 'Caelu']"
Whoppa Wit Da Choppa,Whoppa Wit Da Choppa,['Whoppa Wit Da Choppa']
Hy Zaret/Alex North,Hy Zaret/Alex North,"['Hy Zaret', 'Alex North']"
Bruno Cardoso,Bruno Cardoso,['Bruno Cardoso']
Thomas Bergersen,Thomas Bergersen,['Thomas Bergersen']
Ray Davies,Ray Davies,['Ray Davies']
ZAMUDIO SANTOS CASIMIRO,ZAMUDIO/SANTOS/CASIMIRO,['ZAMUDIO SANTOS CASIMIRO']
James Tucker,,['James Tucker']
Christopher Smith,Christopher Smith,['Christopher Smith']
Philippe Gille/Edmond Gondinet/Léo Delibes,,"['Philippe Gille', 'Edmond Gondinet', 'Léo Delibes']"
Godfrey Balanga,Godfrey Balanga,['Godfrey Balanga']
Noboru Mutoh,Noboru Mutoh,['Noboru Mutoh']
Madonna/Patrick Leonard/Bruce Gaitsch,Madonna/Patrick Leonard/Bruce Gaitsch,"['Madonna', 'Patrick Leonard', 'Bruce Gaitsch']"
RARE/CHADE/Gray Dot,,"['RARE', 'CHADE', 'Gray Dot']"
A. Kammermeier/W. Merziger/F. Helder,A. Kammermeier/W. Merziger/F. Helder,"['A. Kammermeier', 'W. Merziger', 'F. Helder']"
Conny Sahm,Conny Sahm,['Conny Sahm']
Costantino Padovano/Jurgen  Korduletsch,Costantino Padovano/Jurgen  Korduletsch,"['Costantino Padovano', 'Jurgen  Korduletsch']"
Paul Giovanni,Paul Giovanni,['Paul Giovanni']
Etsuko Ishida,Etsuko Ishida,['Etsuko Ishida']
Kodak Black,Kodak Black,['Kodak Black']
Tory Lanez,Tory Lanez,['Tory Lanez']
Jack Hodgy,Jack Hodgy,['Jack Hodgy']
Jürgen Mutschall/Dominik de Léon,,"['Jürgen Mutschall', 'Dominik de Léon']"
Sam Smith/James Napier/Bill Appleberry,Sam Smith/James Napier,"['Sam Smith', 'James Napier', 'Bill Appleberry']"
Harold Jenkins/Sun Record Co.,Harold Jenkins,"['Harold Jenkins', 'Sun Record Co.']"
Mecano/Ignacio Cano,Mecano/Ignacio Cano,"['Mecano', 'Ignacio Cano']"
Belal Husein,Belal Husein,['Belal Husein']
Christoph Rombach/Chandelier,,"['Christoph Rombach', 'Chandelier']"
Francisco Duran & Mauricio Durán,Francisco Duran/Mauricio Durán,"['Francisco Duran', 'Mauricio Durán']"
Phil McKenzie/Osunlade,Phil McKenzie/Osunlade,"['Phil McKenzie', 'Osunlade']"
Beas Flores & Castellanos Higareda,,"['Beas Flores', 'Castellanos Higareda']"
Muzio Clementi,Muzio Clementi,['Muzio Clementi']
Cesare Andrea Bixio/André de Badet,Cesare Andrea Bixio/André de Badet,"['Cesare Andrea Bixio', 'André de Badet']"
Barry Hay/George Kooymans/John Fenton,Barry Hay/George Kooymans/John Fenton,"['Barry Hay', 'George Kooymans', 'John Fenton']"
Christopher von Deylen,Christopher von Deylen,['Christopher von Deylen']
Mintu De/KME Network/Ramanuj Bagh,Mintu De/Ramanuj Bagh,"['Mintu De', 'KME Network', 'Ramanuj Bagh']"
Алтынбек Қоразбаев & Серікбай Оспанов,,"['Алтынбек Қоразбаев', 'Серікбай Оспанов']"
"Sickboyrari,SosMula,ZillaKami",Sickboyrari/SosMula/ZillaKami,"['Sickboyrari', 'SosMula', 'ZillaKami']"
A COLLINS MIGUEL ORLANDO/C DENNIS DONALD ANTHONY/CA BURRELL PHILIP/CA DUNBAR SLY/PA LUCIANO & ALTON ELLIS,COLLINS MIGUEL ORLANDO/DENNIS DONALD ANTHONY/C/BURRELL PHILIP/C/DUNBAR SLY/P/LUCIANO/ALTON ELLIS,"['A COLLINS MIGUEL ORLANDO', 'C DENNIS DONALD ANTHONY', 'CA BURRELL PHILIP', 'CA DUNBAR SLY', 'PA LUCIANO', 'ALTON ELLIS']"
甘茶,,['甘茶']
"Robert Burke, Tim Bright & Chad Fischer",Robert Burke/Tim Bright /Chad Fischer,"['Robert Burke', 'Tim Bright', 'Chad Fischer']"
Combo Records/Braian Fuertes,Braian Fuertes,"['Combo Records', 'Braian Fuertes']"
Carlinhos Brown,Carlinhos Brown,['Carlinhos Brown']
Math Bishop/Caroline Kingsbury,Math Bishop/Caroline Kingsbury,"['Math Bishop', 'Caroline Kingsbury']"
Anonymous,Anonymous,['Anonymous']
Andris Freidenfelds/Normunds Jakušonoks/Ģirts Lūsis,Andris Freidenfelds/Normunds Jakušonoks/Ģirts Lūsis,"['Andris Freidenfelds', 'Normunds Jakušonoks', 'Ģirts Lūsis']"
Thomas Bergersen,Thomas Bergersen,['Thomas Bergersen']
"Maya Yepes (Duque Osorio, Florez & Vasquez)",Maya Yepes/Duque Osorio/Florez/Vasquez,"['Maya Yepes', 'Duque Osorio', 'Florez', 'Vasquez']"
Skvortsov Daniil Sergeevich/Kovalev Egor Yurievich,Skvortsov Daniil Sergeevich/Kovalev Egor Yurievich,"['Skvortsov Daniil Sergeevich', 'Kovalev Egor Yurievich']"
Polly Samson/David Gilmour,,"['Polly Samson', 'David Gilmour']"
Parra del Riego Campoverde,Parra del Riego Campoverde,['Parra del Riego Campoverde']
Kedrick Rodiguez Anguiano,Kedrick Rodiguez Anguiano,['Kedrick Rodiguez Anguiano']
Alan Jay Lerner/Frederick Loewe,Alan Jay Lerner/Frederick Loewe,"['Alan Jay Lerner', 'Frederick Loewe']"
Jon Hendricks/Count Basie,Jon Hendricks/Count Basie,"['Jon Hendricks', 'Count Basie']"
Corey Deandre DeTiege,Corey Deandre DeTiege,['Corey Deandre DeTiege']
Harry Thumann/Hermann Weindorf,Harry Thumann/Hermann Weindorf,"['Harry Thumann', 'Hermann Weindorf']"
R. MacGimsey,R. MacGimsey,['R. MacGimsey']
Jose Ramos,Jose Ramos,['Jose Ramos']
JOAQUIN VARELA CALZADA/obo SGAE,JOAQUIN VARELA CALZADA,"['JOAQUIN VARELA CALZADA', 'obo SGAE']"
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
Royce da 5′9″/Mr. Porter,Royce da 5′9″/Mr. Porter,"['Royce da 5′9″', 'Mr. Porter']"
"<Unknown>/Dixon, Andre",Dixon/Andre,"['<Unknown>', 'Dixon', 'Andre']"
Dennis McCarthy,Dennis McCarthy,['Dennis McCarthy']
vincent guerold,vincent guerold,['vincent guerold']
David Lindup & Steve Baker,David Lindup/Steve Baker,"['David Lindup', 'Steve Baker']"
Giancarlo Bigazzi/Umberto Tozzi/Marcos Ficarelli,,"['Giancarlo Bigazzi', 'Umberto Tozzi', 'Marcos Ficarelli']"
Elijah Dunham,Elijah Dunham,['Elijah Dunham']
Sachin-Jigar,Sachin-Jigar,['Sachin-Jigar']
Kudda,Kudda,['Kudda']
David Machalicky/Tomáš Rothschedl/Damian Kucera/Jan Kucera,David Machalicky/Tomáš Rothschedl/Damian Kucera/Jan Kucera,"['David Machalicky', 'Tomáš Rothschedl', 'Damian Kucera', 'Jan Kucera']"
CA JONKMAN TIM P/CA KAN VAN ERWIN H/PA GRIDKILLER & NOSFERATU,JONKMAN TIM P/KAN VAN ERWIN H/GRIDKILLER/NOSFERATU,"['CA JONKMAN TIM P', 'CA KAN VAN ERWIN H', 'PA GRIDKILLER', 'NOSFERATU']"
Boosie Badazz,Boosie Badazz,['Boosie Badazz']
Brite Benson Giwa,Brite Benson Giwa,['Brite Benson Giwa']
Patrik Berger/Carly Rae Jepsen,Patrik Berger/Carly Rae Jepsen,"['Patrik Berger', 'Carly Rae Jepsen']"
Michael Bruce,Michael Bruce,['Michael Bruce']
Agustín Lara,Agustín Lara,['Agustín Lara']
Henri Djian/Claude Bolling,Henri Djian/Claude Bolling,"['Henri Djian', 'Claude Bolling']"
Jordan R Todd,Jordan R Todd,['Jordan R Todd']
César López/Charlie Parker,César López/Charlie Parker,"['César López', 'Charlie Parker']"
Mr. Lexx/Noise Cans/Carlos Vroliji/Christopher Palmer/Talpa BMG/AT Publishing/Damn Curtis Publishing/Dim Mak Publishing,Mr. Lexx/Noise Cans/Carlos Vroliji/Talpa BMG,"['Mr. Lexx', 'Noise Cans', 'Carlos Vroliji', 'Christopher Palmer', 'Talpa BMG', 'AT Publishing', 'Damn Curtis Publishing', 'Dim Mak Publishing']"
Trayquan parker,,['Trayquan parker']
"<Unknown>/Segarra, Albert",Segarra/Albert,"['<Unknown>', 'Segarra', 'Albert']"
Shaun Glass/Markus Johansson/Mike Sylvester/Kanky Lora/Robby J Fonts,Shaun Glass/Markus Johansson/Mike Sylvester/Kanky Lora/Robby J Fonts,"['Shaun Glass', 'Markus Johansson', 'Mike Sylvester', 'Kanky Lora', 'Robby J Fonts']"
MALIN (GB 1) DAVID/NICK HOGARTH,,"['MALIN', 'GB 1', 'DAVID', 'NICK HOGARTH']"
Trigga500k,Trigga500k,['Trigga500k']
Zachary Kale/Jon Nite/Laura Veltz,Zachary Kale/Jon Nite/Laura Veltz,"['Zachary Kale', 'Jon Nite', 'Laura Veltz']"
Abigail Bengson/Shaun Bengson,Abigail Bengson/Shaun Bengson,"['Abigail Bengson', 'Shaun Bengson']"
Zakariya Mullaparamb,Zakariya Mullaparamb,['Zakariya Mullaparamb']
M.E.M.O./Pig & Dan/Dan Duncan/Igor Tchkotoua/Mobilee Publishing/Black Rock Publishing/Anselmo Alarcón Alvarez,M.E.M.O/Pig & Dan/Dan Duncan/Igor Tchkotoua/Anselmo Alarcón Alvarez,"['M.E.M.O.', 'Pig', 'Dan', 'Dan Duncan', 'Igor Tchkotoua', 'Mobilee Publishing', 'Black Rock Publishing', 'Anselmo Alarcón Alvarez']"
"Jerome Fagnet, Samuel Guibout & Thomas Bernardini",Jerome Fagnet/Samuel Guibout/Thomas Bernardini,"['Jerome Fagnet', 'Samuel Guibout', 'Thomas Bernardini']"
Mariah Carey and Walter Afanasieff,Mariah Carey/Walter Afanasieff,['Mariah Carey and Walter Afanasieff']
"Loki Rothman, Zander Tyler, Earl Henri Swartz & Charl Van Der westhuizen",Loki Rothman/Zander Tyler/Earl Henri Swartz/Charl Van Der westhuizen,"['Loki Rothman', 'Zander Tyler', 'Earl Henri Swartz', 'Charl Van Der westhuizen']"
Yuvan Shankar Raja,Yuvan Shankar Raja,['Yuvan Shankar Raja']
Marco Antonio Solís,Marco Antonio Solís,['Marco Antonio Solís']
Brunette,Brunette,['Brunette']
CA FOGNINI ALESSANDRO/CA FOGNINI FEDERICO/CA MOBINI TEHRANI AMIRPASHA/PA MIND AGAINST & BLAUCSH,FOGNINI/ALESSANDRO/FOGNINI/FEDERICO/MOBINI/TEHRANI/AMIRPASHA/PA/MIND/AGAINST/&/BLAUCSH,"['CA FOGNINI ALESSANDRO', 'CA FOGNINI FEDERICO', 'CA MOBINI TEHRANI AMIRPASHA', 'PA MIND AGAINST', 'BLAUCSH']"
John Fogerty,John Fogerty,['John Fogerty']
Adel Nassar Nassar,Adel Nassar Nassar,['Adel Nassar Nassar']
Rafael Alonso Cabaleiro/Elphomega,,"['Rafael Alonso Cabaleiro', 'Elphomega']"
"<Unknown>/Clark, Tyrel",Clark/Tyrel,"['<Unknown>', 'Clark', 'Tyrel']"
Trương Hoàng Xuân,Trương Hoàng Xuân,['Trương Hoàng Xuân']
BOOSEY & HAWKES,BOOSEY/HAWKES,"['BOOSEY', 'HAWKES']"
Matthias Ullrich/Raffael Gruber,Matthias Ullrich/Raffael Gruber,"['Matthias Ullrich', 'Raffael Gruber']"
Samuel Santos,Samuel Santos,['Samuel Santos']
Gilberto Hernandez,,['Gilberto Hernandez']
Logic,Logic,['Logic']
Patrik Jensen,Patrik Jensen,['Patrik Jensen']
Oleg Korolkov & Alec Koff,Oleg Korolkov/ Alec Koff,"['Oleg Korolkov', 'Alec Koff']"
Мухамедьяров Данис Римович & Даянов Наркис Наилович,,"['Мухамедьяров Данис Римович', 'Даянов Наркис Наилович']"
Jason Cooper/Perry Bamonte/Roger O’Donnell/Robert Smith/Simon Gallup,Jason Cooper/Perry Bamonte/Roger O’Donnell/Robert Smith/Simon Gallup,"['Jason Cooper', 'Perry Bamonte', 'Roger O’Donnell', 'Robert Smith', 'Simon Gallup']"
Frédéric Labit/Pascal Le Bon/Claude Brame/Christophe Carlin/Jean-Baptiste Jimenez/James Huiban/Franck Vandecasteele,Frédéric Labit/Pascal Le Bon/Claude Brame/Christophe Carlin/Jean-Baptiste Jimenez/James Huiban/Franck Vandecasteele,"['Frédéric Labit', 'Pascal Le Bon', 'Claude Brame', 'Christophe Carlin', 'Jean-Baptiste Jimenez', 'James Huiban', 'Franck Vandecasteele']"
DP/MORONEY CHRISTOPHER,,"['DP', 'MORONEY CHRISTOPHER']"
Tulio Arnaldo de Rose/Eduardo Humberto Jaurena,Tulio Arnaldo de Rose/Eduardo Humberto Jaurena,"['Tulio Arnaldo de Rose', 'Eduardo Humberto Jaurena']"
organ mixt,organ mixt,['organ mixt']
"<Unknown>/Singh, Harmeet",Singh/Harmeet,"['<Unknown>', 'Singh', 'Harmeet']"
Anh Việt Thu,,['Anh Việt Thu']
André Gauthier,André Gauthier,['André Gauthier']
fiona slattery,fiona slattery,['fiona slattery']
Ben Prokopowicz,Ben Prokopowicz,['Ben Prokopowicz']
Richard Hall,Richard Hall,['Richard Hall']
Jorge Morel/Fernando Bustamante,Jorge Morel/Fernando Bustamante,"['Jorge Morel', 'Fernando Bustamante']"
Lil 30,Lil 30,['Lil 30']
Marty Wilde/Ricky Wilde,Marty Wilde/Ricky Wilde,"['Marty Wilde', 'Ricky Wilde']"
BTB Savage,BTB Savage,['BTB Savage']
Fryderyk Chopin,Fryderyk Chopin,['Fryderyk Chopin']
Alfonzo Primer,,['Alfonzo Primer']
Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart,Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart,"['Antoine Ferrand', 'Christopher Raeburn', 'Wolfgang Amadeus Mozart']"
Irving Isai Puerto Ramirez,Irving Isai Puerto Ramirez,['Irving Isai Puerto Ramirez']
Jorge Luis Aguilar & Jesse Luna,Jorge Luis Aguilar/Jesse Luna,"['Jorge Luis Aguilar', 'Jesse Luna']"
ALLEN REYNOLDS,ALLEN REYNOLDS,['ALLEN REYNOLDS']
Gilberto Martinez Tinajero,Gilberto Martinez Tinajero,['Gilberto Martinez Tinajero']
Lloyd James Jr,Lloyd James Jr,['Lloyd James Jr']
Ngakoma Conner/Tyna Keelan/Zeb Bult/Hohepa Morgan/Peter Wadams/H. Ramapia/Demi Savelio/Che Rauhihi-Ness/Mark Arona/Mark Sagapolutele/Malo Luafutu,,"['Ngakoma Conner', 'Tyna Keelan', 'Zeb Bult', 'Hohepa Morgan', 'Peter Wadams', 'H. Ramapia', 'Demi Savelio', 'Che Rauhihi-Ness', 'Mark Arona', 'Mark Sagapolutele', 'Malo Luafutu']"
Rocco Fusco/Rollover DJs/Tiberio Carcano,Rocco Fusco/Rollover DJs/Tiberio Carcano,"['Rocco Fusco', 'Rollover DJs', 'Tiberio Carcano']"
ΣΚΑΜΑΓΚΑΣ ΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ(ΘΕΟΔΩΡΟΥ)/ΜΑΤΑΡΑΓΚΑΣ ΓΕΩΡΓΙΟΣ,,"['ΣΚΑΜΑΓΚΑΣ ΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ', 'ΘΕΟΔΩΡΟΥ', 'ΜΑΤΑΡΑΓΚΑΣ ΓΕΩΡΓΙΟΣ']"
Francisco Orantes/Heaven Publishing/Musical Miguel Ángel Villagran,Francisco Orantes,"['Francisco Orantes', 'Heaven Publishing', 'Musical Miguel Ángel Villagran']"
Rasmus Gozzi/Alexander Kiran/Pontus Andersen/Louise Andersson Bodin,Rasmus Gozzi/Alexander Kiran/Pontus Andersen/Louise Andersson Bodin,"['Rasmus Gozzi', 'Alexander Kiran', 'Pontus Andersen', 'Louise Andersson Bodin']"
Shanta Shelke,,['Shanta Shelke']
Cheb mimoun el oujdi,Cheb mimoun el oujdi,['Cheb mimoun el oujdi']
Patrik Jarlestam,Patrik Jarlestam,['Patrik Jarlestam']
Amy Koïta,Amy Koïta,['Amy Koïta']
Gaio Chiocchio/Gilles Péram/Riccardo Cocciante,Gaio Chiocchio/Gilles Péram/Riccardo Cocciante,"['Gaio Chiocchio', 'Gilles Péram', 'Riccardo Cocciante']"
Tony Hendrik/Bernd Meinunger/Andreas Martin Krause/Radio-Tele-Music GmbH/Coconut Music Limited & Co. KG,Tony Hendrik/Bernd Meinunger/Andreas Martin Krause,"['Tony Hendrik', 'Bernd Meinunger', 'Andreas Martin Krause', 'Radio-Tele-Music GmbH', 'Coconut Music Limited', 'Co. KG']"
HRISTODOULOS NIKOLOPOULOS & SIA E E/NIKOLOPOULOS HRISTOS,,"['HRISTODOULOS NIKOLOPOULOS', 'SIA E E', 'NIKOLOPOULOS HRISTOS']"
上条欽也/上条盛也/林宗應,,"['上条欽也', '上条盛也', '林宗應']"
"<Unknown>/Belville, Jose",Belville/Jose,"['<Unknown>', 'Belville', 'Jose']"
Fred Fa'afou/Justin Ferguson/Tyree Tautogia/Sid Diamond,,"[""Fred Fa'afou"", 'Justin Ferguson', 'Tyree Tautogia', 'Sid Diamond']"
André Olbrich/Hansi Kürsch,André Olbrich/Hansi Kürsch,"['André Olbrich', 'Hansi Kürsch']"
Lynn Melnikova,Lynn Melnikova,['Lynn Melnikova']
Bimbim,,['Bimbim']
Lucas Napoleone,Lucas Napoleone,['Lucas Napoleone']
XRS/DJ Marky,XRS/DJ Marky,"['XRS', 'DJ Marky']"
Roshan/Sahir Ludhianvi,Roshan/Sahir Ludhianvi,"['Roshan', 'Sahir Ludhianvi']"
JayM,JayM,['JayM']
"SpaceMan Zack,Chief Kelly",SpaceMan Zack/Chief Kelly,"['SpaceMan Zack', 'Chief Kelly']"
Johannes Wamberg/Coco Karshøj,Johannes Wamberg/Coco Karshøj,"['Johannes Wamberg', 'Coco Karshøj']"
Соловьев Вадим,,['Соловьев Вадим']
Tego Calderón,Tego Calderón,['Tego Calderón']
Brian Lee White/Brian Trifon,Brian Lee White/Brian Trifon,"['Brian Lee White', 'Brian Trifon']"
Billie Ray Fingers/Bruce Fingers/Jasmine Denise Calalang Santos,Billie Ray Fingers/Bruce Fingers/Jasmine Denise Calalang Santos,"['Billie Ray Fingers', 'Bruce Fingers', 'Jasmine Denise Calalang Santos']"
